raw_text,category,confidence,reason
Seattle,地名,95,美国华盛顿州城市名
G7,组织名及简称,90,七国集团国际组织
Robert,人名,85,常见英文人名（需搭配姓氏构成全名）
CocaCola,公司名及简称,95,可口可乐公司品牌
Amazon,公司名及简称,90,最常见指亚马逊公司，其次为亚马逊河
Charles,人名,85,常见英文人名（需搭配姓氏构成全名）
London,地名,95,英国首都
Dallas,地名,95,美国德克萨斯州城市
Jessica,人名,85,常见英文女性名
Paris,地名,95,法国首都
Seoul,地名,95,韩国首都
Elizabeth,人名,85,常见英文女性名
IBM,公司名及简称,95,国际商业机器公司
UNESCO,组织名及简称,95,联合国教科文组织
Bob,人名,85,常见英文人名简称
WTO,组织名及简称,95,世界贸易组织
Los,未分类,70,不完整地名片段（如洛杉矶部分）
Moscow,地名,95,俄罗斯首都
Jack,人名,85,常见英文人名
CIA,组织名及简称,95,美国中央情报局
IOC,组织名及简称,95,国际奥林匹克委员会
Intel,公司名及简称,95,英特尔公司
Frank,人名,85,常见英文人名
Francisco,人名,85,常见西班牙语系人名（需搭配姓氏）
Volkswagen,公司名及简称,95,大众汽车公司
San,未分类,70,不完整地名片段（如旧金山部分）
Beijing,地名,95,中国首都
Austin,地名,95,美国德克萨斯州首府
Google,公司名及简称,95,谷歌公司
Houston,地名,95,美国德克萨斯州城市
Philadelphia,地名,95,美国宾夕法尼亚州城市
Jennifer,人名,85,常见英文女性名
Miami,地名,95,美国佛罗里达州城市
William,人名,85,常见英文人名
Linda,人名,85,常见英文女性名
NHL,组织名及简称,90,国家冰球联盟体育组织
Greenpeace,组织名及简称,95,国际环保组织绿色和平
NVIDIA,公司名及简称,95,英伟达科技公司
Sydney,地名,95,澳大利亚城市
Phoenix,地名,95,美国亚利桑那州首府
Chicago,地名,95,美国伊利诺伊州城市
Tokyo,地名,95,日本首都
Emily,人名,85,常见英文女性名
OPEC,组织名及简称,95,石油输出国组织
York,地名,90,常见于纽约等地名组成部分
Toyota,公司名及简称,95,丰田汽车公司
Target,公司名及简称,90,美国塔吉特零售公司
Sony,公司名及简称,95,索尼株式会社
Oracle,公司名及简称,95,甲骨文公司
AMD,公司名及简称,95,超威半导体公司
